Source Name	Characteristics[organism]	Characteristics[taxonomy_id]	Characteristics[strain]	Characteristics[genotype]	Characteristics[cell_line]	Characteristics[disease]	Characteristics[tissue]	Characteristics[sample_type]	Characteristics[stimulus]	Characteristics[treatment]	Characteristics[compound]	Characteristics[amount]	Unit[mole based unit]	Comment[BioSample]	Comment[sample_title]	Protocol REF	Sample Name	Comment[Protocol subtype]	Protocol REF	Parameter Value[Post extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography instrument]	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	Assay Name	Comment[technical_replicate]	Raw Data File	Protocol REF	Processed Data File	Protocol REF	Metabolite Assignment File	Factor Value[genotype]	Factor Value[cell_line]	Factor Value[sample_type]	Factor Value[stimulus]	Factor Value[treatment]	Factor Value[amount]	Unit[mole based unit]
exosome	Homo sapiens	9606			LNCap	Prostate cancer		exosome						SAMD00424359	Exosome-1	Sample collection	Exosome-1	Preparation of exosomes	Extraction	100 microL methanol/water 75/25 (v/v)	alkylation	Exosome-1	Chromatography	UltiMate 3000 (Thermo Fisher Scientific)	HTC PAL (CTC Analytics) autosampler	InertSustain Bio C18 column (2.1 mm x 150 mm, 1.9 µm; GL Science)	reverse phase		Exosome-1		Mass spectrometry	positive	5-2000	Thermo Fisher TSQ Vantage	electrospray ionization	triple quadruple	Exosome-1		Exosome-1.mzML	Data processing	Exosome.tsv	Metabolite identification	maf.1.tsv		LNCap	exosome				
exosome	Homo sapiens	9606			LNCap	Prostate cancer		exosome						SAMD00424360	Exosome-2	Sample collection	Exosome-2	Preparation of exosomes	Extraction	100 microL methanol/water 75/25 (v/v)	alkylation	Exosome-2	Chromatography	UltiMate 3000 (Thermo Fisher Scientific)	HTC PAL (CTC Analytics) autosampler	InertSustain Bio C18 column (2.1 mm x 150 mm, 1.9 µm; GL Science)	reverse phase		Exosome-2		Mass spectrometry	positive	5-2000	Thermo Fisher TSQ Vantage	electrospray ionization	triple quadruple	Exosome-2		Exosome-2.mzML	Data processing	Exosome.tsv	Metabolite identification	maf.1.tsv		LNCap	exosome				
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424363	calibration_curve_2fmol-1	Sample collection	calibration_curve_2fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_2fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_2fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_2fmol-1		calibration_curve_2fmol-1.mzML	Data processing	calibration_curve_2fmol.tsv	Metabolite identification	maf.2.tsv						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424364	calibration_curve_2fmol-2	Sample collection	calibration_curve_2fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_2fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_2fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_2fmol-2		calibration_curve_2fmol-2.mzML	Data processing	calibration_curve_2fmol.tsv	Metabolite identification	maf.2.tsv						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424367	calibration_curve_5fmol-1	Sample collection	calibration_curve_5fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_5fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_5fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_5fmol-1		calibration_curve_5fmol-1.mzML	Data processing	calibration_curve_5fmol.tsv	Metabolite identification	maf.2.tsv						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424368	calibration_curve_5fmol-2	Sample collection	calibration_curve_5fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_5fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_5fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_5fmol-2		calibration_curve_5fmol-2.mzML	Data processing	calibration_curve_5fmol.tsv	Metabolite identification	maf.2.tsv						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424371	calibration_curve_10fmol-1	Sample collection	calibration_curve_10fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_10fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_10fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_10fmol-1		calibration_curve_10fmol-1.mzML	Data processing	calibration_curve_10fmol.tsv	Metabolite identification	maf.2.tsv						10	femtomole
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424372	calibration_curve_10fmol-2	Sample collection	calibration_curve_10fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_10fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_10fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_10fmol-2		calibration_curve_10fmol-2.mzML	Data processing	calibration_curve_10fmol.tsv	Metabolite identification	maf.2.tsv						10	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424375	calibration_curve_20fmol-1	Sample collection	calibration_curve_20fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_20fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_20fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_20fmol-1		calibration_curve_20fmol-1.mzML	Data processing	calibration_curve_20fmol.tsv	Metabolite identification	maf.2.tsv						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424376	calibration_curve_20fmol-2	Sample collection	calibration_curve_20fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_20fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_20fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_20fmol-2		calibration_curve_20fmol-2.mzML	Data processing	calibration_curve_20fmol.tsv	Metabolite identification	maf.2.tsv						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424379	calibration_curve_50fmol-1	Sample collection	calibration_curve_50fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_50fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_50fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_50fmol-1		calibration_curve_50fmol-1.mzML	Data processing	calibration_curve_50fmol.tsv	Metabolite identification	maf.2.tsv						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424380	calibration_curve_50fmol-2	Sample collection	calibration_curve_50fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_50fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_50fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_50fmol-2		calibration_curve_50fmol-2.mzML	Data processing	calibration_curve_50fmol.tsv	Metabolite identification	maf.2.tsv						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424383	calibration_curve_100fmol-1	Sample collection	calibration_curve_100fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_100fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_100fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_100fmol-1		calibration_curve_100fmol-1.mzML	Data processing	calibration_curve_100fmol.tsv	Metabolite identification	maf.2.tsv						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424384	calibration_curve_100fmol-2	Sample collection	calibration_curve_100fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_100fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_100fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_100fmol-2		calibration_curve_100fmol-2.mzML	Data processing	calibration_curve_100fmol.tsv	Metabolite identification	maf.2.tsv						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424387	calibration_curve_200fmol-1	Sample collection	calibration_curve_200fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_200fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_200fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_200fmol-1		calibration_curve_200fmol-1.mzML	Data processing	calibration_curve_200fmol.tsv	Metabolite identification	maf.2.tsv						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424388	calibration_curve_200fmol-2	Sample collection	calibration_curve_200fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_200fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_200fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_200fmol-2		calibration_curve_200fmol-2.mzML	Data processing	calibration_curve_200fmol.tsv	Metabolite identification	maf.2.tsv						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424391	calibration_curve_500fmol-1	Sample collection	calibration_curve_500fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_500fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_500fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_500fmol-1		calibration_curve_500fmol-1.mzML	Data processing	calibration_curve_500fmol.tsv	Metabolite identification	maf.2.tsv						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424392	calibration_curve_500fmol-2	Sample collection	calibration_curve_500fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_500fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_500fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_500fmol-2		calibration_curve_500fmol-2.mzML	Data processing	calibration_curve_500fmol.tsv	Metabolite identification	maf.2.tsv						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424395	calibration_curve_1pmol-1	Sample collection	calibration_curve_1pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_1pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_1pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_1pmol-1		calibration_curve_1pmol-1.mzML	Data processing	calibration_curve_1pmol.tsv	Metabolite identification	maf.2.tsv						1	picomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424396	calibration_curve_1pmol-2	Sample collection	calibration_curve_1pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_1pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_1pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_1pmol-2		calibration_curve_1pmol-2.mzML	Data processing	calibration_curve_1pmol.tsv	Metabolite identification	maf.2.tsv						1	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424399	calibration_curve_5pmol-1	Sample collection	calibration_curve_5pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_5pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_5pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_5pmol-1		calibration_curve_5pmol-1.mzML	Data processing	calibration_curve_5pmol.tsv	Metabolite identification	maf.2.tsv						5	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424400	calibration_curve_5pmol-2	Sample collection	calibration_curve_5pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_5pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_5pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_5pmol-2		calibration_curve_5pmol-2.mzML	Data processing	calibration_curve_5pmol.tsv	Metabolite identification	maf.2.tsv						5	picomole
chemical standard	unidentified	32644									phosphoinositide	10	picomole	SAMD00424320	calibration_curve_10pmol-1	Sample collection	calibration_curve_10pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_10pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_10pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_10pmol-1		calibration_curve_10pmol-1.mzML	Data processing	calibration_curve_10pmol.tsv	Metabolite identification	maf.2.tsv						10	picomole
chemical standard	unidentified	32644									phosphoinositide	10	picomole	SAMD00424321	calibration_curve_10pmol-2	Sample collection	calibration_curve_10pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_10pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_10pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_10pmol-2		calibration_curve_10pmol-2.mzML	Data processing	calibration_curve_10pmol.tsv	Metabolite identification	maf.2.tsv						10	picomole
chemical standard	unidentified	32644									phosphoinositide	50	picomole	SAMD00424324	calibration_curve_50pmol-1	Sample collection	calibration_curve_50pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_50pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_50pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_50pmol-1		calibration_curve_50pmol-1.mzML	Data processing	calibration_curve_50pmol.tsv	Metabolite identification	maf.2.tsv						50	picomole
chemical standard	unidentified	32644									phosphoinositide	50	picomole	SAMD00424325	calibration_curve_50pmol-2	Sample collection	calibration_curve_50pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	calibration_curve_50pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		calibration_curve_50pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	calibration_curve_50pmol-2		calibration_curve_50pmol-2.mzML	Data processing	calibration_curve_50pmol.tsv	Metabolite identification	maf.2.tsv						50	picomole
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424363	Figure.1_1 calibration_curve_2fmol-1	Sample collection	Figure.1_1 calibration_curve_2fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_1 calibration_curve_2fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_1 calibration_curve_2fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_1 calibration_curve_2fmol-1			Data processing	Figure.1_1 calibration_curve_2fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424364	Figure.1_1 calibration_curve_2fmol-2	Sample collection	Figure.1_1 calibration_curve_2fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_1 calibration_curve_2fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_1 calibration_curve_2fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_1 calibration_curve_2fmol-2			Data processing	Figure.1_1 calibration_curve_2fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424365	Figure.1_1 calibration_curve_2fmol-3	Sample collection	Figure.1_1 calibration_curve_2fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_1 calibration_curve_2fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_1 calibration_curve_2fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_1 calibration_curve_2fmol-3			Data processing	Figure.1_1 calibration_curve_2fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	2	femtomole	SAMD00424366	Figure.1_1 calibration_curve_2fmol-4	Sample collection	Figure.1_1 calibration_curve_2fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_1 calibration_curve_2fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_1 calibration_curve_2fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_1 calibration_curve_2fmol-4			Data processing	Figure.1_1 calibration_curve_2fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						2	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424367	Figure.1_2 calibration_curve_5fmol-1	Sample collection	Figure.1_2 calibration_curve_5fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_2 calibration_curve_5fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_2 calibration_curve_5fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_2 calibration_curve_5fmol-1			Data processing	Figure.1_2 calibration_curve_5fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424368	Figure.1_2 calibration_curve_5fmol-2	Sample collection	Figure.1_2 calibration_curve_5fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_2 calibration_curve_5fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_2 calibration_curve_5fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_2 calibration_curve_5fmol-2			Data processing	Figure.1_2 calibration_curve_5fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424369	Figure.1_2 calibration_curve_5fmol-3	Sample collection	Figure.1_2 calibration_curve_5fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_2 calibration_curve_5fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_2 calibration_curve_5fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_2 calibration_curve_5fmol-3			Data processing	Figure.1_2 calibration_curve_5fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	5	femtomole	SAMD00424370	Figure.1_2 calibration_curve_5fmol-4	Sample collection	Figure.1_2 calibration_curve_5fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_2 calibration_curve_5fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_2 calibration_curve_5fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_2 calibration_curve_5fmol-4			Data processing	Figure.1_2 calibration_curve_5fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	femtomole
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424371	Figure.1_3 calibration_curve_10fmol-1	Sample collection	Figure.1_3 calibration_curve_10fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_3 calibration_curve_10fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_3 calibration_curve_10fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_3 calibration_curve_10fmol-1			Data processing	Figure.1_3 calibration_curve_10fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						10	femtomole
